review	aspect	sentiment
happy national day QATAR & lt ; 3	QATAR	0
Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal !!! too many questions to answer ! #FamilysConsultant	Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal	0
"I posted 15 photos on Facebook in the album ""PICK IT UP 23/10/11"" http://t.co/GO2tlMNc"	Facebook	0
"""Green Day"" urbanism gets people excited for the real thing : That's what happened to me . When I was 13 , I became ... http://t.co/MsTNrjSI"	"""Green Day"""	1
A good head and a good heart are always a formidable combination . ~ Mandela	Mandela	0
JB Pre ss: the unveiling of 'Ollie , the Dragon Lego' for Thistle Johor Bahru is tomorrow ( 20 Jan ) at 11am ( main lobby ) , followed by lunch :)	JB Pre ss:	0
All this time I thought I was too old to understand this new trend RT @GhadahR : What's with this new trend ? ! #Gaga #Rihanna	#Gaga #Rihanna	0
How difficult is it to get an NHS dentist ?	NHS	0
#Cash NimbleCommerce Revamps Daily Deals For MediaNews Grou p: Startup NimbleCommerce wants to become the daily d ... http://t.co/XMIGIN5j	NimbleCommerce	1
Is Antonia Maino aka Sonia Gandhi Really to Blame ? http://t.co/iK2826zS	Antonia Maino	0
Meeting Section @ KAU | Faculty Of Environmental Design http://t.co/Bl323yup	KAU	0
An Open Letter to the Producers Guild of America http://t.co/i52SqNQE via @huffingtonpost PGA must stop institutionallanguagediscrimination	Producers Guild of America	-1
I subscribed to DrakeVEVO's channel on YouTube . http://t.co/gUBsw38s	DrakeVEVO's channel	1
I liked a @YouTube video http://t.co/0W3aLKQz Battlefield 3 Today : The Experience - Back To Karkand Jet Stunt	@YouTube	0
"@apgalbraith Perhaps it was written by their staff's ""Edmund Backhouse"""	@apgalbraith	0
Stop Internet # Censorship ! Sign the global petition urging the US Congress to reject the #Blacklist Bill #SOPA http://t.co/0bwzOZZL	US Congress	0
""" War on the World "" ....... How does warfare affect the 'environment ' ? -Slate http://t.co/dSpGc8O5 #War #Environment http://t.co/Xiii2h0c"	-Slate	0
Check this video out -- What is CrossFit ? full commercial by CrossFit by Overload http://t.co/Txkevar1 via @youtube	http://t.co/Txkevar1	0
"Happy V-DAY :D have a great one and enjoy & lt ; 3 xoxo ""Lana"""	"""Lana"""	0
"FreelanceWritingDesk Sam Rayburn : ""No one has a finer command of language than the person who keeps his mouth shut."" http://t.co/zhKZ2Mcd"	Sam Rayburn	0
"I know this sounds very silly and unnecessary , but I am getting really tired of this ""Poke"" business on Facebook ... http://t.co/uMfQSnuC"	Facebook	-1
@ceqodujyg , I just signed up for Klout . Check out your @klout profile here : http://t.co/n1ESUw8S	Klout	0
""" @ thequote : The talent for being happy is appreciating & liking what you have , instead of what you don't have . ~ Woody Allen"""	"Woody Allen"""	1
State NAACP endorses â parent trigger â | Thoughts on Public Education http://bit.ly/bGrW2o #CAeducation	NAACP	0
Twitter is suitable for both the busy and the lazy .	Twitter	1
Petition for UN laws to be changed so that cannabis can be used for medicinal use and to decriminalise growing . http://rt.nu/lt-mw8	UN	0
Ultimetly all success is from Allah ( subhanahu wa ta'ala ) and all praises are to Him ALONE . http://t.co/8J0bc7XI	Allah	1
National Review : Let Syria Be : â We will hold sacred the beliefs held sacred by others . â That â s the concluding ra ... http://t.co/q2uqix8n	National Review	0
Check out Dell on Google+ ! RT @Dell Google+ Pages are live ! See our Dell page here http://t.co/oNO0l22x	Dell	1
@dascensionband shavo adadjian of SOAD band is my favorite bass player .. sorry for the late response i don't twit allot :p	shavo adadjian	1
Congress is always on to the next big thing ! Healthcare reform is not finished ... it's just getting started .	Congress	1
â@mashable: Only 5% of Adults Use Location-Based Checkin Apps [REPORT]	â@mashable:	0
VW hails students' bridge design ... http : //p.gs/dzvbh	VW	0
I'm supporting @CharityWater on my profile ! What's your cause ? ( Designed with Themeleon by @COLOURlovers - http://t.co/QnndGWg)	Themeleon	0
Tips and tricks for playing Facebook Sorority Life http://dld.bz/by7f	Facebook	0
To all Ganna egy Members .Thank you for being on the page http://t.co/NHZBSX6p	Ganna egy	1
Only Italy : How Teenagers Learned To Hate Joseph Kony : The social media campaign by Invisible Children has drawn ... http://t.co/wVj56P7o	Joseph Kony	-1
@Muggie7 see who just follow me :p I think you need this to forward it to everybody who use to ask you about cameras !! http://t.co/lW3w2gmi	@Muggie7	0
Qatari Man Subdued on Washington-Denver Flight http://alturl.com/38gf	Qatari Man	0
Tiger Woods quote of the day : â Go talk to the leaders â http://cli.gs/8RTWX	Tiger Woods	0
The team which will win the World Cup would have the South American spirit and European brilliance ! Hmmm ...	World Cup	0
Beginning September 6 , 2011 , by visiting m.dell.com on an Android mobile device ( a pop-up screen will prompt users to download ) #dellapp	Android	0
Stop adding me into your Mafia Family ! I don't want to join !	Mafia	-1
Search for Honda parts by frame number http://t.co/s20AEcX	Honda	0
The Ghetto : Photo by Photographer Mert ... http://t.co/VPJ24tXD via @thefancy	Mert	0
BBC News - Balloon launching world record broken http://t.co/9mgZ6G8i	BBC News	0
"I just finished a 4 , 00km run with a pace of 9'15""/km with my Nike+ GPS app ."	Nike+	0
3 decades of going green|About 30 years ago , when A.J . Patrick was building his home in the Fallen Timbers .. http://oohja.com/xigK1	A.J . Patrick	0
Sad Incredible Hulk music as the Cardinals pitcher walks off the mound ? Well done , Miller Park .	Cardinals	1
@DebbieDeeNJ @JackFerriter @oopsadoop @jkheaton @PennDragonArt morning & congrats to the eagles !	@DebbieDeeNJ @JackFerriter	0
Yelp's Updated iPhone App Invokes Rick Perry Flub - When discussing bug fixes in the new version of Yelp for iPhone , ... http://t.co/cMuec18w	Yelp's	0
Sogurt @ BT will be closed from 8-9.30pm today as we are treating all our wonderful Sogirls to dinner , as a reward for their hard work :)	BT	0
The boat trip !!!! Free caipirinha ... See the picture and come to enjoy with us !!! http://tweetphoto.com/22170081	caipirinha	0
I posted a new photo to Facebook http://t.co/7Ck1u5dz	Facebook	0
http://t.co/gCFmndV5 Barrack Obama died in a horrible airplane crash ! No survivors !	Barrack Obama	-1
I'm at Kayne's Desk ( Level 3 , 41 changi south ave 2 ) http://4sq.com/lf1rlr	Kayne's	0
I don't know when #Eid started to lose it's touch ! . Is it because we've grown up or because he did . Happy Eid to all though !	#Eid	-1
Success is often achieved by those who dont know that failure is inevitable . Coco Chanel	Coco Chanel	0
@3aibAndTheCity lol , yes , Sarah Jessica Parker , you look amazing . I wear Sirwal and Faneela to bed . Want to be friends !!! Some people	Sarah Jessica Parker	1
Retired man stuck with medical bill : by LiAna Gonzales â I'd be driving through town and I'd get really sleepy an ... http://t.co/UZ8lqHOt	LiAna Gonzales	0
Just poste d: Olympus OM-D E-M5 hands-on preview http://t.co/GDZznvV5	Olympus	0
@NaguibSawiris Do u think that mobinil is falling down ? Do u have any plans to save this egyption company ?	mobinil	0
Twitter Help Center | Twitter 101 : How should I get started using Twitter ? http://t.co/Cnm9Q77 via @support	Twitter	0
How Your Small Business Can Rack Up Energy Savings Like IBM http://cli.gs/s5N0P	IBM	1
@georgewow I know , in a way George this is all ur fault . Lol . We will haveto get you on HOrde for Life of The Chaos Stream in the future !	George	1
@andersoncooper please help Syria !!! We need you !!	@andersoncooper	1
'Johannes Kepler' space freighter ready for launch . Read more - http://bbc.in/hxe1Id	'Johannes Kepler'	0
Alfie Allen and Jaime Winstone split after 3 years and this time it's for good .	Alfie Allen	0
A man of ability and the desire to accomplish something can do anything.- Kircher , Donald	Kircher , Donald	0
I posted a new photo to Facebook http://t.co/cb7S2tdg	Facebook	0
A Personal Tour Of The Build-a-Bear Workshop http://t.co/HkpznUDF	Build-a-Bear Workshop	0
musst du dir ansehen ! -- Names of Six Murdered by Iraqi Forces in Defenseless Camp Ashraf , Friday ... http://t.co/lB3xUB0 via @youtube	Iraqi Forces	-1
s-s-c just go and care about yr NSAs three pillars , come and disturb us with RAM for what . tmd .	NSAs	0
Obama took our Rights with NDAA , now the President is taking our Guns , leaving us Defenseless http://t.co/D3hTn9sH	Obama	0
DON'T SUPPORT OCEANARIUM IN RWS . DOLPHINS DONT BELONG IN A CIRCUS , THEY SHOULD BE RETURN TO THEIR NATURAL HABITAT ..	OCEANARIUM	-1
I liked a @YouTube video http://t.co/2gzHxyfz Michael Jacksons REAL story behind THREATENED - Judgement	Michael Jacksons	1
"Jesus answered , ""It is written : 'Man does not live on bread alone , but on every word that comes from the mouth of God.' Matthew 4 : 4"	Jesus	1
Working on messaging platform for Kim Kardashian's soon-to-be announced annulment . Suggestions ?	Kim Kardashian's	0
Tactical Report - Iraq : Sistani dissatisfied with Shiite leaders http://t.co/ljUv3PUR via @TacticalReport	Sistani	-1
( http://t.co/mo0clj2P) Texans' first playoff season ends with 20-13 loss at Baltimore : http://t.co/83WhgaJr	http://t.co/mo0clj2P) Texans'	0
I became quite successful very young , and it was mainly because I was so enthusiastic and I just worked so hard at it . Francis Ford Coppola	Francis Ford Coppola	0
Aristotle developed a theory on progressive ensoulment from vegetative , then animal , then human . ( cont ) http://tl.gd/82jsfu	Aristotle	1
@alaaesmaiel http://twitpic.com/2rxdf8 - Become a photokina PIONEER now and upload your impressions of the photokina here http://bit.ly/d7em	@alaaesmaiel	0
White House condemned the assassination of Kurdish opposition leader Mishaal al-Tammo in Syria- VOK Radio : http://t.co/ndAIRtLJ via @AddThis	Mishaal al-Tammo	0
Happy new year to u all of my followers and respecters in Twitter .	Twitter	1
@rimamaktabi Saudi Arabia : Manal Al-Sharif Arrested for defying ban on driving . http://bit.ly/l4vlxH	Manal Al-Sharif	0
Check out the great deals we have on some of our most popular Mazda vehicles ! Call ( 888 ) 366-2127 for a test ... http://t.co/LJKuNoHt	Mazda	1
Leading Sunni official in Iraq hit by roadside bomb : BAGHDAD â A convoy carrying a leading Sunni government offi ... http://t.co/BmOUAQi1	Sunni official	0
