review	aspect	sentiment
happy national day QATAR $ a sheikhdom occupying a peninsula on the west coast of the Persian Gulf; population 2,200,000 (estimated 2015); official language, Arabic; capital, Doha. The country was a British protectorate from 1916 until 1971, when it became a sovereign independent state. Oil is the chief source of revenue. $ & lt ; 3	QATAR	0
Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal $ the name of two kings of Iraq. $ !!! too many questions to answer ! #FamilysConsultant	Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal	0
"""""""I posted 15 photos on Facebook $ spend time using the social media application Facebook"" $ in the album """"""""PICK IT UP 23/10/11"""""""" http://t.co/GO2tlMNc"""""	Facebook	0
"""""""""""""""Green Day"""""""" u $ A ray of light that gives a sensation of green when perceived; usually in plural. = green flash."" $rbanism gets people excited for the real thing : That's what happened to me . When I was 13 , I became ... http://t.co/MsTNrjSI"""""	"""""""""""""""Green Day"""""""""""""""	1
A good head and a good heart are always a formidable combination . ~ Mandela $ (1918–2013), South African statesman, president 1994–9; full name Nelson Rolihlahla Mandela. He was sentenced to life imprisonment in 1964 as an activist for the African National Congress (ANC). Released in 1990, as leader of the ANC he engaged in talks on the introduction of majority rule with President F. W. de Klerk, with whom he shared the Nobel Peace Prize in 1993. He became the country's first democratically elected president in 1994. $	Mandela	0
JB Pre ss: $ previous to; before [SEP] Saints shortstop. social security. steamship $ the unveiling of 'Ollie , the Dragon Lego' for Thistle Johor Bahru is tomorrow ( 20 Jan ) at 11am ( main lobby ) , followed by lunch :)	JB Pre ss:	0
All this time I thought I was too old to understand this new trend RT @GhadahR : What's with this new trend ? ! #Gaga #Rihanna $ no longer in possession of all one's mental faculties, especially on account of old age [SEP] A coarse fabric woven from raffia, made chiefly in Madagascar; an item made from this. $	#Gaga #Rihanna	0
How difficult is it to get an NHS $ (in the UK) National Health Service. $ dentist ?	NHS	0
#Cash NimbleCommerce $ not found $ Revamps Daily Deals For MediaNews Grou p: Startup NimbleCommerce wants to become the daily d ... http://t.co/XMIGIN5j	NimbleCommerce	1
"""Is Antonia Maino $ A member of any of various religious communities associated with St Anthony the Great (251–356), Egyptian hermit and ascetic, often considered as the father of monasticism; especially a member of any of a number of monastic orders of the Eastern Catholic Church following the precepts of St Anthony. Compare """"Antonine"""". Usually in plural. [SEP] A girl who is being trained to become a geisha."" $ aka Sonia Gandhi Really to Blame ? http://t.co/iK2826zS"	Antonia Maino	0
Meeting Section @ KAU $ A measure of capacity used in ancient Palestine, typically for grain, seeds, and other dry goods, which the Talmud equates to one-sixth of a seah, and which is thought to be of the order of a litre. $ | Faculty Of Environmental Design http://t.co/Bl323yup	KAU	0
An Open Letter to the Producers Guild of America $ a person, company, or country that makes, grows, or supplies goods or commodities for sale a person responsible for the financial and managerial aspects of the making of a film or broadcast or for staging a play, opera, etc in the least. an organism that produces organic compounds from simple substances such as water and carbon dioxide; an autotroph [SEP] a medieval association of craftsmen or merchants, often having considerable power. [SEP] expressing the relationship between a part and a whole. expressing the relationship between a scale or measure and a value indicating an association between two entit $ http://t.co/i52SqNQE via @huffingtonpost PGA must stop institutionallanguagediscrimination	Producers Guild of America	-1
I subscribed to DrakeVEVO's channel $ a length of water wider than a strait, joining two larger areas of water, especially two seas. a band of frequencies used in radio and television transmission, especially as used by a particular station. a method or system for communication or distribution an electric circuit which acts as a path for a signal a tubular passage or duct for liquid a groove or furrow $ on YouTube . http://t.co/gUBsw38s	DrakeVEVO's channel	1
I liked a @YouTube $ upload a video of (someone or something) to the video-sharing website YouTube $ video http://t.co/0W3aLKQz Battlefield 3 Today : The Experience - Back To Karkand Jet Stunt	@YouTube	0
"""""""@apgalbraith $ (1908–2006), Canadian-born US economist. He was well known for his criticism of consumerism and of the power of large multinational corporations; he wrote The Affluent Society (1958) and The New Industrial State (1967)."" $ Perhaps it was written by their staff's """"""""Edmund Backhouse"""""""""""""	@apgalbraith	0
