review	aspect	sentiment
I charge it at night and skip taking the cord with me because of the good battery life. [SEP] thin, flexible string or rope made from several twisted strands ribbed fabric, especially corduroy a good deal of measure of cut wood (usually 128 cu. ft, 3.62 cubic metres).	cord	1
"""The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the """"sales"""" team, which is the retail shop which I bought my netbook from."" [SEP] technology. an educational institution specializing in technology or applied sciences; a technical college. [SEP] a man a figure representing Guy Fawkes, burnt on a bonfire on Guy Fawkes Night, and often displayed by children begging for money for fireworks."	tech guy	0
it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous. [SEP] the standard of something as measured against other things of a similar kind; the degree of excellence of something a distinctive attribute or characteristic possessed by someone or something	quality	1
Easy to start up and does not overheat as much as other laptops. [SEP] (of a machine or device) begin operating or being used embark on a venture or undertaking, especially a commercial one	start up	1
I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more! [SEP] a distinctive attribute or aspect of something a newspaper or magazine article or a broadcast programme devoted to the treatment of a particular topic, typically at length	features	1
Great laptop that offers many great features! [SEP] a great deal of distinctive attribute or aspect of something a newspaper or magazine article or a broadcast programme devoted to the treatment of a particular topic, typically at length	features	1
One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does. [SEP] graphical user interface.	GUI	0
In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con). [SEP] a tough elastic polymeric substance made from the latex of a tropical plant or synthetically a piece of rubber used for erasing pencil or ink marks rubber boots; galoshes. a condom. [SEP] an area that is surrounded by a barrier the state of being enclosed, especially in a religious community a document or object placed in an envelope together with a letter.	rubber enclosure	1
However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming). [SEP] a good deal of technology allowing a touchscreen, trackpad, etc., to register multiple points of contact made on the surface simultaneously. [SEP] a movement of part of the body, especially a hand or the head, to express an idea or meaning	multi-touch gestures	1
The speed is incredible and I am more than satisfied. [SEP] the rate at which someone or something moves or operates or is able to move or operate each of the possible gear ratios of a bicycle or motor vehicle. the light-gathering power or f-number of a camera lens. an amphetamine drug, especially methamphetamine. success; prosperity	speed	1
This laptop meets every expectation and Windows 7 is great! [SEP] a GUI operating system for personal computers.	Windows 7	1
I can barely use any usb devices because they will not stay connected properly. [SEP] universal serial bus, a standardized technology for attaching peripheral devices to a computer in the least. [SEP] a thing made or adapted for a particular purpose, especially a piece of mechanical or electronic equipment a plan, method, or trick with a particular aim a drawing or design	usb devices	-1
When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed. [SEP] the programs and other operating information used by a computer	software	0
One suggestion I do have, is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC. [SEP] a fragment of endoplasmic reticulum and attached ribosomes obtained by the centrifugation of homogenized cells. [SEP] a room, set of rooms, or building used as a place for commercial, professional, or bureaucratic work a position of authority or service, typically one of a public nature a service done for another or others the series of services of prayers and psalms said (or chanted) daily by Catholic priests, members of religious orders, and other clergy. the parts of a house given over to household work or to storage. [SEP] in support of or in favour of (a person or policy) affecting, with	Microsoft office for the mac	-1
"""I also got the added bonus of a 30"""" HD Monitor, which really helps to extend my screen and keep my eyes fresh!"" [SEP] the thirty most popular songs or recordings in the popular music charts [SEP] (of television) high-definition. [SEP] a device used for observing, checking, or keeping a continuous record of something a television receiver used in a studio to select or verify the picture being broadcast from a particular camera a school pupil with disciplinary or other special duties a large tropical Old World lizard with a long neck, narrow head, forked tongue, strong claws, and a short body. Monitors were formerly believed to give warning of crocodiles. a shallow-draught warship mounting one or two heavy guns"	"""30"""" HD Monitor"""	1
The machine is slow to boot up and occasionally crashes completely. [SEP] assault and injure someone by hitting, kicking, or punching them repeatedly	boot up	-1
After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours. [SEP] the action of helping or doing work for someone assistance or advice given to customers during and after the sale of goods a piece of work done for a client or customer that does not involve manufacturing goods a system supplying a public need such as transport, communications, or utilities such as electricity and water a ceremony of religious worship according to a prescribed form a periodic routine inspection and maintenance of a vehicle or other machine a set of matching crockery used for serving a particular meal (in tennis and other racket sports) the action or right of serving to begin p	service	-1
I love the operating system and the preloaded software. [SEP] the low-level software that supports a computer's basic functions, such as scheduling tasks and controlling peripherals.	operating system	1
The best thing about this laptop is the price along with some of the newer features. [SEP] the amount of money expected, required, or given in payment for something an unwelcome experience or action undergone or done as a condition of achieving an objective	price	1
After numerous attempts of trying (including setting the clock in BIOS setup directly), I gave up(I am a techie). [SEP] a mechanical or electrical device for measuring time, indicating hours, minutes, and sometimes seconds by hands on a round dial or by displayed figures a downy spherical seed head, especially that of a dandelion. a person's face [SEP] expressing the situation of something that is or appears to be enclosed or surrounded by something else expressing a period of time during which an event happens or a situation remains the case expressing the length of time before a future event is expected to happen (often followed by a noun without a determiner) expressing a state or condition expressing inclus	clock in BIOS setup	-1
YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY. [SEP] a written guarantee, issued to the purchaser of an article by its manufacturer, promising to repair or replace it if necessary within a specified period of time justification or grounds for an action or belief [SEP] the action of helping or doing work for someone assistance or advice given to customers during and after the sale of goods a piece of work done for a client or customer that does not involve manufacturing goods a system supplying a public need such as transport, communications, or utilities such as electricity and water a ceremony of religious worship according to a prescribed form	WARRANTY SERVICE	-1
but now i have realized its a problem with this brand. [SEP] a type of product manufactured by a particular company under a particular name an identifying mark burned on livestock or (in former times) criminals or slaves with a branding iron a piece of burning or smouldering wood a sword.	brand	-1
I was looking for a mac which is portable and has all the features that I was looking for. [SEP] a distinctive attribute or aspect of something a newspaper or magazine article or a broadcast programme devoted to the treatment of a particular topic, typically at length	features	1
Also kinda loud when the fan was running. [SEP] an apparatus with rotating blades that creates a current of air for cooling or ventilation a handheld device in the slightest. typically folding and shaped like a segment of a circle when spread out, that is waved so as to cool the person holding it	fan	-1
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files. [SEP] a rigid non-removable magnetic disk with a large data storage capacity.	hard disc	0
Drivers updated ok but the BIOS update froze the system up and the computer shut down. [SEP] a person who drives a vehicle a wheel or other part in a mechanism that receives power directly and transmits motion to other parts. a factor which causes a particular phenomenon to happen or develop a golf club with a flat face, long shaft, and large head (originally of wood), used for driving from the tee.	Drivers	1
Spent 2 hours on phone with HP Technical Support. [SEP] Himachal Pradesh. [SEP] relating to a particular subject, art, or craft, or its techniques involving or concerned with applied and industrial sciences resulting from mechanical failure according to a strict application or interpretation of the law or rules [SEP] bear all or part of the weight of; hold up give assistance to, especially financially suggest the truth of; corroborate (of a computer or operating system) allow the use or operation of (a program, language, or device) endure; tolerate	HP Technical Support	0
Speaking of the browser, it too has problems. [SEP] a computer program with a graphical user interface for displaying and navigating between web pages a person who looks casually through publications or websites or at goods for sale an animal that feeds mainly on high-growing vegetation in the least.	browser	-1
The keyboard is too slick. [SEP] a panel of keys that operate a computer or typewriter. a set of keys on a piano or similar musical instrument.	keyboard	-1
Nightly my computer defrags itself and runs a virus scan. [SEP] The pattern of features in the iris of a person's eye, as recorded and encoded by an iris scanner; the act of scanning a person's iris in order to obtain such a record or to corroborate their identity.	virus scan	0
